complexity,cost,feature_complexity,feature_cost,freqs
12.0,0.546576,5,0.157518987591934,
10.0,0.5,5,0.1,
11.0,0.843607,4,0.18923877304042963,
14.0,0.611112,5,0.12222222222222223,
11.0,0.805556,4,0.16111111111111112,
12.0,0.546576,5,0.15751898759193403,
12.0,0.787595,4,0.25392686407275694,
10.0,0.932257,4,0.2024764439500098,
13.0,0.305556,6,0.061111111111111116,
12.0,0.546576,5,0.10931504935152257,
11.0,0.611112,5,0.12222222222222223,
12.0,0.546576,5,0.15751898759193403,
12.0,0.932257,4,0.2024764439500098,
15.0,0.546576,5,0.157518987591934,
13.0,0.787595,4,0.25392686407275694,
13.0,0.5,5,0.1,
10.0,0.805556,4,0.16111111111111112,
12.0,0.843607,4,0.18923877304042963,
12.0,0.546576,5,0.10931504935152257,
11.0,0.787595,4,0.15751898759193403,
13.0,0.932257,4,0.20247644395000977,
