complexity,cost,feature_cost
16.0,0.020848,0.005146488276585196
15.0,0.010424,0.004277855172423149
16.0,0.010424,0.006015121380747243
15.0,0.020848,0.007178959447864441
17.0,0.020848,0.005146488276585196
14.0,0.020848,0.006015121380747243
19.0,0.020848,0.009571945930485921
18.0,0.010424,0.003409222068261103
17.0,0.020848,0.005146488276585196
16.0,0.010424,0.004277855172423149
16.0,0.010424,0.006015121380747243
17.0,0.020848,0.007178959447864441
17.0,0.020848,0.005146488276585196
15.0,0.020848,0.007752387589071336
18.0,0.020848,0.007178959447864441
15.0,0.020848,0.00521179862497228
13.0,0.031272,0.006949064833296373
12.0,0.020848,0.0060804317291343266
13.0,0.020848,0.00781769793745842
