complexity,cost,feature_cost
12.0,0.24102,0.18154465314185397
11.0,0.482039,0.29852492167507005
11.0,0.24102,0.18154465314185397
10.0,0.482039,0.36709956184971393
12.0,0.546576,0.29517247908107946
11.0,0.24102,0.16922575743640775
11.0,0.546576,0.2561620661300386
11.0,0.482039,0.38504613125066656
7.0,0.482039,0.3164714910760227
10.0,0.867721,0.4872247802923679
12.0,0.24102,0.16615055983822632
12.0,0.482039,0.2831308283714424
12.0,0.24102,0.20130862585403292
11.0,0.24102,0.1911301330946788
10.0,0.482039,0.33230111967645265
11.0,0.24102,0.19663576907597113
9.0,0.24102,0.22161534233242358
12.0,0.24102,0.1885238745755578
