complexity,cost,feature_cost
19.0,0.01522,0.00890296624891792
18.0,0.03044,0.00890296624891792
18.0,0.01522,0.016512826913440963
18.0,0.03044,0.02096431003789992
18.0,0.01522,0.016512826913440963
16.0,0.01522,0.024122687577964007
19.0,0.03044,0.02096431003789992
18.0,0.03044,0.00890296624891792
16.0,0.04566,0.00890296624891792
17.0,0.03044,0.01780593249783584
19.0,0.03044,0.01780593249783584
14.0,0.04566,0.024122687577964007
19.0,0.03044,0.00890296624891792
17.0,0.03044,0.016512826913440963
18.0,0.04566,0.00890296624891792
16.0,0.04566,0.01780593249783584
19.0,0.01522,0.016512826913440963
18.0,0.03044,0.016512826913440963
18.0,0.01522,0.024122687577964007
18.0,0.03044,0.028574170702422963
19.0,0.03044,0.02096431003789992
17.0,0.03044,0.028574170702422963
20.0,0.03044,0.01780593249783584
18.0,0.04566,0.01780593249783584
19.0,0.01522,0.00890296624891792
18.0,0.03044,0.00890296624891792
18.0,0.01522,0.016512826913440963
19.0,0.03044,0.02096431003789992
18.0,0.01522,0.016512826913440963
16.0,0.01522,0.024122687577964007
18.0,0.03044,0.02096431003789992
18.0,0.03044,0.00890296624891792
16.0,0.04566,0.00890296624891792
19.0,0.03044,0.01780593249783584
17.0,0.03044,0.01780593249783584
14.0,0.04566,0.024122687577964007
19.0,0.03044,0.00890296624891792
17.0,0.03044,0.016512826913440963
18.0,0.04566,0.00890296624891792
16.0,0.04566,0.01780593249783584
19.0,0.01522,0.016512826913440963
18.0,0.03044,0.016512826913440963
18.0,0.01522,0.024122687577964007
18.0,0.03044,0.028574170702422963
19.0,0.03044,0.02096431003789992
17.0,0.03044,0.028574170702422963
