complexity,cost,freqs,feature_complexity,feature_cost
11.0,0.528881,,16,0.2049764611417454
13.0,0.528881,,20,0.27954724034611494
10.0,0.897527,,14,0.35838923995035316
13.0,0.528881,,20,0.27954724034611494
12.0,0.775954,,20,0.47404000733220525
11.0,0.528881,,16,0.2049764611417454
9.0,0.775954,,12,0.3248984489234662
10.0,0.897527,,14,0.3583892399503532
10.0,0.5,,16,0.15090853095164766
9.0,0.781808,,12,0.23596300431167228
10.0,0.847002,,14,0.3494938071332871
10.0,0.847002,,14,0.3494938071332871
7.0,1.275954,,9,0.47580697987511383
13.0,0.281808,,18,0.12013589285699694
13.0,0.528881,,18,0.31462865984308724
11.0,0.528881,,14,0.2400578806387177
10.0,0.5,,14,0.18598995044861996
9.0,0.847002,,12,0.3845752266302594
13.0,0.281808,,18,0.12013589285699694
11.0,0.528881,,14,0.2400578806387177
13.0,0.528881,,18,0.31462865984308724
10.0,0.5,,14,0.18598995044861996
9.0,0.847002,,12,0.3845752266302594
9.0,0.563616,,13,0.2300810294667605
7.0,0.781808,,9,0.2959350870583835
12.0,0.281808,,21,0.1133673933458261
10.0,0.563616,,17,0.1984218667058507
14.0,0.528881,,21,0.30786016033191643
11.0,0.528881,,17,0.23328938112754685
11.0,0.897527,,15,0.3867021599361547
12.0,0.528881,,18,0.25992245313080015
10.0,0.775954,,14,0.37984444091252095
13.0,0.528881,,18,0.3344932323351697
13.0,0.775954,,18,0.52898599932126
9.0,0.897527,,15,0.4336707775601227
12.0,0.281808,,21,0.1133673933458261
10.0,0.563616,,17,0.1984218667058507
11.0,0.528881,,17,0.23328938112754685
14.0,0.528881,,21,0.30786016033191643
11.0,0.897527,,15,0.38670215993615464
13.0,0.528881,,18,0.3344932323351697
13.0,0.775954,,18,0.52898599932126
12.0,0.528881,,18,0.25992245313080015
10.0,0.775954,,14,0.37984444091252095
9.0,0.897527,,15,0.43367077756012273
8.0,0.5,,13,0.20051835803646
7.0,0.781808,,9,0.28557283139648465
9.0,0.847002,,15,0.42058444796941286
9.0,0.847002,,15,0.42058444796941286
7.0,1.275954,,9,0.5640919826076265
12.0,0.0,,20,0.027775095059858465
14.0,0.247073,,20,0.22226786204594878
11.0,0.247073,,16,0.14769708284157923
11.0,0.218192,,16,0.0936291526514815
12.0,0.565194,,14,0.29221442883312093
14.0,0.0,,20,0.05776113643321409
13.0,0.218192,,16,0.12361519402483712
11.0,0.0,,16,0.05258000860226464
9.0,0.247073,,12,0.17250199638398542
13.0,0.247073,,17,0.26641036341220514
12.0,0.0,,20,0.05258000860226464
14.0,0.247073,,20,0.24707277558835494
12.0,0.247073,,17,0.1918395842078356
11.0,0.218192,,17,0.13410001611410882
11.0,0.565194,,14,0.3470053837488827
11.0,0.0,,16,0.05776113643321409
10.0,0.218192,,12,0.12361519402483712
9.0,0.0,,12,0.08256604997562027
12.0,0.0,,16,0.08256604997562027
9.0,0.218192,,13,0.16408605748746447
12.0,0.0,,20,0.05258000860226464
12.0,0.247073,,16,0.17250199638398542
14.0,0.0,,20,0.08256604997562025
12.0,0.0,,20,0.07738492214467081
13.0,0.247073,,17,0.21664449775024178
12.0,0.247073,,17,0.26641036341220514
13.0,0.247073,,17,0.2912152769546113
11.0,0.0,,16,0.05258000860226464
12.0,0.247073,,16,0.24707277558835494
12.0,0.0,,16,0.08256604997562025
8.0,0.0,,12,0.07738492214467081
11.0,0.247073,,13,0.2912152769546113
11.0,0.247073,,14,0.1918395842078356
9.0,0.247073,,10,0.21664449775024175
11.0,0.218192,,17,0.13410001611410882
12.0,0.218192,,17,0.16408605748746447
11.0,0.565194,,14,0.3470053837488827
11.0,0.281808,,16,0.11282956841988309
13.0,0.528881,,16,0.3073223354059734
10.0,0.528881,,12,0.23275155620160387
9.0,0.5,,12,0.1786836260115061
10.0,0.847002,,10,0.37726890219314557
12.0,0.281808,,14,0.1479109879168554
10.0,0.5,,10,0.2137650455084784
11.0,0.281808,,17,0.14114248840568455
9.0,0.528881,,13,0.2610644761874053
11.0,0.528881,,14,0.3622683273950282
11.0,0.281808,,17,0.14114248840568455
12.0,0.528881,,17,0.33563525539177486
11.0,0.528881,,14,0.2876975481906586
7.0,0.5,,9,0.2282934530963185
8.0,0.847002,,11,0.4483595430292713
16.0,0.0,,24,0.027775095059858465
14.0,0.247073,,20,0.14769708284157923
16.0,0.247073,,24,0.22226786204594878
14.0,0.218192,,20,0.0936291526514815
